# Flame Wheel
000000000;4291420554;0;Tx; 
000236541;4300921482;6;1;0;311
000236658;4300921482;5;0;0;8
000236658;4300921482;7;4;0;298424
000236658;4300921482;8;1;1;17
000236658;4300921482;9;1;0;28
000236658;4300921482;10;1;0;315
000236658;4300921482;12;1;3;0
000236939;4272321920;1;1;2;466;2;1;0;9;3;1;0;9;4;1;0;100
000236978;4300921482;11;1;0;98
000236978;4300921482;13;4;0;0
000236978;4300921482;14;5;1;1706509
000237118;4300921482;1;5;0;2333
000237118;4300921482;2;9;0;2698118
000237118;4300921482;3;9;3;6292077
000237118;4300921482;4;0;0;1
000237120;4300921482;6;1;0;311
000237258;4300921482;5;0;0;8
000237258;4300921482;7;4;0;298424
000237258;4300921482;8;1;1;14
000237258;4300921482;9;1;0;28
000237258;4300921482;10;1;0;318
000237258;4300921482;12;1;3;0
000237458;4272321920;1;1;2;469;2;1;0;9;3;1;0;9;4;1;0;100
000237578;4300921482;1;5;0;2334
000237578;4300921482;2;9;0;2698118
000237578;4300921482;3;9;3;6292077
000237578;4300921482;4;0;0;1
000237578;4300921482;6;1;0;311
000237718;4300921482;5;0;0;8
000237718;4300921482;7;4;0;298424
000237720;4300921482;8;1;1;3
000237720;4300921482;9;1;0;28
000237720;4300921482;10;1;0;0
000237721;4300921482;12;1;3;0
000237978;4272321920;1;1;2;467;2;1;0;9;3;1;0;9;4;1;0;100
000238058;4300921482;1;5;0;2334
000238058;4300921482;2;9;0;2698118
000238058;4300921482;3;9;3;6292077
000238058;4300921482;4;0;0;1
000238058;4300921482;6;1;0;311
000238198;4300921482;5;0;0;8
000238198;4300921482;7;4;0;298424
000238198;4300921482;8;1;1;3
000238198;4300921482;9;1;0;28
000238198;4300921482;10;1;0;302
000238198;4300921482;12;1;3;0
000238318;4300921482;11;1;0;98
000238318;4300921482;13;4;0;0
000238318;4300921482;14;5;1;1706509
000238499;4272321920;1;1;2;468;2;1;0;9;3;1;0;9;4;1;0;100
000238578;4300921482;1;5;0;2335
000238578;4300921482;2;9;0;2698118
000238578;4300921482;3;9;3;6292076
000238578;4300921482;4;0;0;1
000238578;4300921482;6;1;0;311
000238749;4300921482;5;0;0;8
000238749;4300921482;7;4;0;298423
000238749;4300921482;8;1;1;7
000238749;4300921482;9;1;0;28
000238749;4300921482;10;1;0;296
000238749;4300921482;12;1;3;0
000239018;4272321920;1;1;2;469;2;1;0;9;3;1;0;9;4;1;0;100
000239038;4300921482;1;5;0;2335
000239038;4300921482;2;9;0;2698118
000239038;4300921482;3;9;3;6292076
000239038;4300921482;4;0;0;1
000239038;4300921482;6;1;0;311
000239178;4300921482;5;0;0;8
000239178;4300921482;7;4;0;298423
000239178;4300921482;8;1;1;7
000239178;4300921482;9;1;0;28
000239178;4300921482;10;1;0;304
000239178;4300921482;12;1;3;0
000239518;4300921482;1;5;0;2336
000239518;4300921482;2;9;0;2698118
000239518;4300921482;3;9;3;6292076
000239518;4300921482;4;0;0;1
000239521;4300921482;6;1;0;311
000239538;4272321920;1;1;2;467;2;1;0;9;3;1;0;9;4;1;0;100
000239638;4300921482;11;1;0;98
000239638;4300921482;13;4;0;0
000239638;4300921482;14;5;1;1706509
000239778;4300921482;5;0;0;8
000239778;4300921482;7;4;0;298423
000239778;4300921482;8;1;1;4
000239778;4300921482;9;1;0;28
000239778;4300921482;10;1;0;318
000239778;4300921482;12;1;3;0
000239998;4300921482;1;5;0;2336
000239998;4300921482;2;9;0;2698118
000239998;4300921482;3;9;3;6292076
000239998;4300921482;4;0;0;1
000240001;4300921482;6;1;0;311
000240069;4272321920;1;1;2;469;2;1;0;9;3;1;0;9;4;1;0;98
000240218;4300921482;5;0;0;8
000240218;4300921482;7;4;0;298423
000240218;4300921482;8;1;1;3
000240218;4300921482;9;1;0;28
000240218;4300921482;10;1;0;0
000240218;4300921482;12;1;3;0
000240458;4300921482;1;5;0;2337
000240458;4300921482;2;9;0;2698118
000240458;4300921482;3;9;3;6292076
000240458;4300921482;4;0;0;1
000240458;4300921482;6;1;0;311
000240579;4272321920;1;1;2;468;2;1;0;9;3;1;0;9;4;1;0;100
000240698;4300921482;5;0;0;8
000240701;4300921482;7;4;0;298423
000240701;4300921482;8;1;1;0
000240701;4300921482;9;1;0;28
000240701;4300921482;10;1;0;0
000240701;4300921482;12;1;3;0
000240903;4300921482;11;1;0;98
000240903;4300921482;13;4;0;0
000240903;4300921482;14;5;1;1706509
000241058;4300921482;1;5;0;2337
000241058;4300921482;2;9;0;2698118
000241058;4300921482;3;9;3;6292076
000241058;4300921482;4;0;0;1
000241058;4300921482;6;1;0;311
000241098;4272321920;1;1;2;469;2;1;0;9;3;1;0;9;4;1;0;100
000241198;4300921482;5;0;0;8
000241201;4300921482;7;4;0;298423
000241201;4300921482;8;1;1;1
000241201;4300921482;9;1;0;28
000241201;4300921482;10;1;0;180
000241201;4300921482;12;1;3;0
000241518;4300921482;1;5;0;2338
000241518;4300921482;2;9;0;2698118
