# Goblin 700
000000000;4291420554;0;Tx; 
000187538;3920121719;6;4;0;600
000187538;3920121719;7;1;0;21
000187538;3920121719;9;1;0;10
000187618;3920121719;1;1;1;497
000187618;3920121719;2;1;0;2
000187618;3920121719;3;1;1;55
000187618;3920121719;4;1;1;0
000187620;3920121719;6;4;0;626
000187620;3920121719;9;1;0;10
000187738;3920121719;1;1;1;497
000187738;3920121719;2;1;0;2
000187738;3920121719;4;1;1;0
000187738;3920121719;5;4;0;0
000187738;3920121719;6;4;0;648
000187738;3920121719;9;1;0;10
000187848;3920121719;1;1;1;497
000187848;3920121719;2;1;0;2
000187848;3920121719;3;1;1;55
000187848;3920121719;4;1;1;0
000187848;3920121719;6;4;0;665
000187851;3920121719;9;1;0;10
000187938;3920121719;1;1;1;497
000187938;3920121719;2;1;0;2
000187938;3920121719;4;1;1;0
000187938;3920121719;6;4;0;681
000187938;3920121719;7;1;0;21
000187938;3920121719;9;1;0;10
000187958;4272321920;1;1;2;825;2;1;0;9;3;1;0;9;4;1;0;100
000188018;3920121719;1;1;1;497
000188018;3920121719;2;1;0;2
000188018;3920121719;3;1;1;55
000188018;3920121719;4;1;1;0
000188018;3920121719;6;4;0;693
000188018;3920121719;9;1;0;10
000188118;3920121719;1;1;1;497
000188118;3920121719;2;1;0;2
000188121;3920121719;4;1;1;0
000188121;3920121719;6;4;0;703
000188121;3920121719;8;5;0;1
000188121;3920121719;9;1;0;10
000188218;3920121719;1;1;1;497
000188218;3920121719;2;1;0;2
000188218;3920121719;3;1;1;55
000188218;3920121719;4;1;1;0
000188218;3920121719;6;4;0;712
000188218;3920121719;9;1;0;10
000188317;3920121719;1;1;1;497
000188317;3920121719;2;1;0;2
000188317;3920121719;4;1;1;0
000188317;3920121719;5;4;0;0
000188317;3920121719;6;4;0;721
000188317;3920121719;9;1;0;10
000188418;3920121719;1;1;1;497
000188421;3920121719;2;1;0;2
000188421;3920121719;3;1;1;55
000188421;3920121719;4;1;1;0
000188421;3920121719;6;4;0;728
000188421;3920121719;9;1;0;10
000188478;4272321920;1;1;2;825;2;1;0;9;3;1;0;9;4;1;0;100
000188538;3920121719;1;1;1;497
000188538;3920121719;2;1;0;2
000188538;3920121719;4;1;1;0
000188538;3920121719;6;4;0;734
000188538;3920121719;7;1;0;21
000188538;3920121719;9;1;0;10
000188618;3920121719;1;1;1;497
000188618;3920121719;2;1;0;2
000188618;3920121719;3;1;1;55
000188618;3920121719;4;1;1;0
000188621;3920121719;6;4;0;740
000188621;3920121719;9;1;0;10
000188718;3920121719;1;1;1;497
000188718;3920121719;2;1;0;2
000188718;3920121719;4;1;1;0
000188718;3920121719;5;4;0;0
000188718;3920121719;6;4;0;746
000188718;3920121719;9;1;0;10
000188818;3920121719;1;1;1;497
000188818;3920121719;2;1;0;2
000188818;3920121719;3;1;1;55
000188818;3920121719;4;1;1;0
000188818;3920121719;6;4;0;750
000188818;3920121719;9;1;0;10
000188919;3920121719;1;1;1;497
000188919;3920121719;2;1;0;2
000188919;3920121719;4;1;1;0
000188921;3920121719;6;4;0;752
